value;value_err;distance_px;distance_pc
150;-10;14.31782106;1.700659909
150;-10;14.31782106;1.700659909
150;-10;14.56021978;1.729451844
150;-10;14.56021978;1.729451844
150;-10;14.86606875;1.765780352
150;-10;14.86606875;1.765780352
150;-10;14.31782106;1.700659909
150;-10;14.31782106;1.700659909
297.4161;-1;14.76482306;1.753754466
150;-10;14.76482306;1.753754466
172.505;59.4903;14.4222051;1.713058565
150;-10;14.4222051;1.713058565
238.6135;65.2831;15;1.781688604
340.9298;83.9534;14.2126704;1.688170193
150;-10;14.2126704;1.688170193
150;-10;15;1.781688604
150;-10;14.86606875;1.765780352
150;-10;14.14213562;1.679792126
150;-10;14.14213562;1.679792126
150;-10;14.86606875;1.765780352
150;-10;14.86606875;1.765780352
150;-10;14.2126704;1.688170193
150;-10;14.2126704;1.688170193
150;-10;14.86606875;1.765780352
150;-10;15;1.781688604
150;-10;14.4222051;1.713058565
150;-10;14.4222051;1.713058565
150;-10;15;1.781688604
150;-10;14.76482306;1.753754466
150;-10;14.31782106;1.700659909
150;-10;14.31782106;1.700659909
150;-10;14.76482306;1.753754466
150;-10;14.86606875;1.765780352
150;-10;14.56021978;1.729451844
150;-10;14.31782106;1.700659909
150;-10;14.14213562;1.679792126
150;-10;14.03566885;1.667146083
117.141;70.4649;14.03566885;1.667146083
164.0072;63.6824;14.14213562;1.679792126
252.8596;99.4953;14.31782106;1.700659909
402.8157;254.1429;14.56021978;1.729451844
150;-10;14.86606875;1.765780352
150;-10;15;1.781688604
